78130 00821,98453 94494,01/09/16 6:01,186
78298 91466,(022)28952819,01/09/16 6:01,2093
97424 22395,(022)47410783,01/09/16 6:03,1975
93427 40118,(080)33118033,01/09/16 6:11,1156
90087 42537,(080)35121497,01/09/16 6:17,573
97427 87999,(04344)322628,01/09/16 6:19,2751
(080)45291968,90365 06212,01/09/16 6:30,9
78132 18081,77956 90632,01/09/16 6:39,3043
98453 46196,94005 06213,01/09/16 6:40,2457
78290 99865,89071 31755,01/09/16 6:46,9
(04344)228249,(080)43901222,01/09/16 6:50,2329
(080)62164823,74066 93594,01/09/16 6:52,300
(0821)6141380,90366 69257,01/09/16 6:54,2147
98446 66723,83019 53227,01/09/16 6:56,129
90088 09624,93434 31551,01/09/16 6:57,133
93427 56500,98447 12671,01/09/16 7:03,29
(040)26738737,90194 00845,01/09/16 7:12,94
(080)67362492,(04344)316423,01/09/16 7:24,2258
90192 87313,(080)33251027,01/09/16 7:28,110
97421 07528,97399 92703,01/09/16 7:30,2918
78130 00821,98453 94494,01/09/16 7:31,1560
(080)69245029,(044)49481100,01/09/16 7:34,9
(044)30727085,92414 22596,01/09/16 7:39,725
92421 09526,(080)69150162,01/09/16 7:39,88
98440 65896,(080)47459867,01/09/16 7:42,544
(022)47410783,93412 26084,01/09/16 7:50,96
(080)47459867,98440 65896,01/09/16 8:08,2147
97427 87999,(04344)322628,01/09/16 8:19,324
(080)23802940,98445 71741,01/09/16 8:22,502
97380 60551,81524 55552,01/09/16 8:44,650
90197 38885,98445 85687,01/09/16 8:46,430
96566 40412,90352 50054,01/09/16 8:49,150
97447 92655,(022)39006198,01/09/16 9:17,163
78136 54214,(0471)6537077,01/09/16 9:18,160
(080)46304537,99003 88572,01/09/16 9:20,97
98444 63396,(022)46574732,01/09/16 9:20,84
90355 94399,97391 99665,01/09/16 9:24,2099
89071 50880,(04546)388977,01/09/16 9:29,9
78298 91466,(022)28952819,01/09/16 9:31,247
99003 47921,98444 95768,01/09/16 9:36,836
92415 66985,(080)43685310,01/09/16 9:37,9
(080)67362492,(04344)316423,01/09/16 9:39,726
(080)32255824,(080)62164823,01/09/16 9:57,12
99002 80226,90085 20915,01/09/16 10:01,609
(080)35986130,97402 57057,01/09/16 10:04,9
(080)30270642,97380 86781,01/09/16 10:04,581
97410 27512,(080)41712046,01/09/16 10:13,198
(044)49481100,(080)69245029,01/09/16 10:15,385
(022)62120910,98447 12671,01/09/16 10:15,9
1408371942,81529 57063,01/09/16 10:17,46
(080)29435303,(080)43685310,01/09/16 10:25,236
95264 40233,98440 68457,01/09/16 10:28,692
97403 88244,(022)46574732,01/09/16 10:31,2177
(080)34121098,81513 36123,01/09/16 10:35,763
78293 38561,(080)21129907,01/09/16 10:35,3172
97422 22278,98446 66723,01/09/16 10:38,140
97380 60551,90365 51029,01/09/16 10:43,511
(080)22816760,90088 09624,01/09/16 10:59,2564
95264 40233,98440 68457,01/09/16 11:04,1219
78138 93826,90359 99240,01/09/16 11:09,762
97385 29751,(022)30044349,01/09/16 11:16,807
81510 47188,90355 10919,01/09/16 11:19,216
90084 16988,98449 60656,01/09/16 11:26,169
(080)46772413,(04344)211113,01/09/16 11:29,2418
90082 61126,90366 69257,01/09/16 11:44,2617
92415 66985,(080)43685310,01/09/16 11:53,81
(033)25441815,94489 82688,01/09/16 11:59,645
87140 67779,89072 39789,01/09/16 12:05,2106
94497 44333,97385 70012,01/09/16 12:15,46
(022)62120910,97411 71155,01/09/16 12:16,135
(011)68486606,(080)32255824,01/09/16 12:19,1686
94005 20878,(080)49328664,01/09/16 12:20,151
(044)27523585,93432 24657,01/09/16 12:23,1306
(080)62164823,(080)32255824,01/09/16 12:25,3884
92415 91418,94489 72078,01/09/16 12:29,2064
1408409918,98448 72117,01/09/16 12:33,54
97449 50000,78295 78750,01/09/16 12:45,1740
(080)64765396,98448 88411,01/09/16 13:24,2647
